Tool Name,Story,Works with,No.of actions,Author
Slack,Analyze CrowdStrike detections,"CrowdStrike, Jira Software, Slack, VirusTotal",13,null
Slack,Process and handle Slack callbacks with various methods,Slack,48,Audrey Kwong
Slack,Triage alerts with agents using SOPs in Confluence,"AbuseIPDB, Confluence, CrowdStrike, EmailRep, Okta, Slack, Tavily, Tines, URLScan.io, VirusTotal",8,Pete Wrenn
Slack,Update Slack Status based on Zoom Meetings,"Slack, Zoom",7,Sabrina de Silva
Slack,Onboard new BambooHR starters using an agent,"BambooHR, Jira Software, Okta, Slack",7,Conor Dunne
Slack,Troubleshoot broken Tines actions using an AI Agent chatbot,"Microsoft Teams, Slack, Tavily, Tines",14,Michael Tolan
Slack,Remove employee access from multiple services using the AI Agent Action,"Gmail, Okta, Slack",4,Conor Dunne
Slack,Restricting User Access and Patching Vulnerable Devices with Kandji,"Kandji, Okta, Slack, Tines",33,Megan Elsayed
Slack,Monitor Zendesk tickets for SLA breaches and alert in Slack and PagerDuty,"PagerDuty, Slack, Zendesk",11,Hrishikesh Kokate
Slack,Search the internet with Tavily via Slack,"Slack, Tavily",4,Michael Tolan
Slack,Manage RSS and YouTube subscriptions via Tines and notify on new releases,"Discord, Slack",42,Tyler Wong
Slack,Triage Material Security cases via Slack,"Jira Software, Material Security, Slack, Tines, VirusTotal",27,Shasheen Bandodkar
Slack,Streamline macOS software updates with self-service patch management and AI,"Jamf Pro, Slack",63,Tyler Talaga
Slack,Manage Qualys vulnerabilities using Jira Service Management and Slack,"Jamf Pro, Jira Service Management, Qualys, Slack, Tines",81,Caleb Williams
Slack,Add a domain to a blocklist in Zscaler,"Slack, Zscaler",15,Conor Dunne
Slack,Implement pagination with these techniques,"Jira Software, Notion, Slack, Tenable Vulnerability Management",32,null
Slack,Send KnowBe4 training reminders via Slack,"Knowbe4, Slack",23,null
Slack,Create Jira issues via Slack,"Jira Software, Slack",7,null
Slack,Send interactive messages in Slack,"Jira Software, Slack",26,null
Slack,Get new advisories from CISA,Slack,7,null
Slack,Lookup IOCs in different tools via Slackbot,"Abuse.ch, AbuseIPDB, Anomali ThreatStream, CrowdStrike, Hunter.io, Hybrid Analysis, MetaDefender, Pulsedive, Slack, URLScan.io, VirusTotal",66,Emily Nguyen
Slack,Find & remediate publicly exposed S3 buckets with Wiz,"AWS, Jira Software, Slack, Wiz",13,null
Slack,Offboard employees using BambooHR,"BambooHR, Google, Okta, Slack",18,null
Slack,Handle Code42 alerts,"Code42, Jira Software, Slack",12,null
Slack,Grant temporary application access,"Jira Software, Okta, Slack, Tines",30,Shaun Finn
Slack,Add new employees to BambooHR and manage system access,"BambooHR, Google, Microsoft Azure, Okta, Slack",17,Michael Tolan
Slack,Check CrowdStrike agent is installed on new devices provisioned,"CrowdStrike, Qualys, ServiceNow, Slack",18,Shaun Finn
Slack,Create & manage incident communications with Slack and Jira,"Jira Software, Slack",59,Rosie Halpin
Slack,Contain a registered device with CrowdStrike,"CrowdStrike, Jira Software, Slack",10,null
Slack,Analyze vulnerabilities from Tenable workbench,"GreyNoise, Jira Software, Slack, Tenable Vulnerability Management",25,null
Slack,Send an Okta MFA challenge via a Tines page,"Okta, Slack",34,null
Slack,Monitor action failures in Tines and notify via Slack,"Slack, Tines",14,Michael Tolan
Slack,Correlate & alert on failed login attempts in Okta via Slack,"Okta, Slack",8,null
Slack,Enrich & remediate suspicious logins reported in Okta,"AbuseIPDB, Okta, Slack, VirusTotal",14,Derek Wohlfahrt
Slack,Detect secrets and sensitive data shared in Slack,Slack,15,Nick Page
Slack,Send a prompt to a Slack channel or user & take action,Slack,13,Lasse Høgsholt
Slack,Triage new alerts in Google Alert Center with human oversight,"Google, Jira Software, Slack",19,null
Slack,Manage CrowdStrike IOCs in Slack,"CrowdStrike, Slack",38,null
Slack,Verify CrowdStrike is present on new devices in Jamf,"CrowdStrike, Jamf Pro, Slack",9,Conor Dunne
Slack,"Analyze Elastic alerts, block IPs, and notify in Slack and Tines Cases","Elastic, Google, GreyNoise, Slack, Tines",10,Michael Tolan
Slack,Check IP addresses in Panther & send results via Slack,"AbuseIPDB, Panther, Slack",20,Eoin Magner
Slack,Detect and Respond to Okta Impossible Travel Sign-ins with Slack and Tines Cases,"Okta, Slack",25,null
Slack,Start conversations with ChatGPT in Slack,"OpenAI, Slack",12,null
Slack,"Detect, log and remediate AWS alerts with Orca Security and Jira","AWS, Jira Software, Orca Security, Slack",21,null
Slack,Respond to approve and deny requests via Slack,Slack,7,null
Slack,Crowdsource suspicious logins and suspend accounts,"GreyNoise, Jira Software, OneLogin, PagerDuty, Slack",16,null
Slack,Submit URL for analysis via Slackbot and return screenshot of results,"Slack, URLScan.io, VirusTotal",9,null
Slack,Incident Management with Slack and Tines Cases,Slack,90,null
Slack,Document Tines stories in Atlassian Confluence,"Confluence, Slack",72,Tyler Talaga
Slack,Filter Hunters alerts by risk level and create cases via Slack,"Hunters SOC Platform, Jira Software, Slack",8,null
Slack,Send Wiz alerts to Slack and raise issues in Jira,"Jira Software, Slack, Wiz",22,null
Slack,Receive alerts for public S3 buckets & make private,"AWS, Slack",12,null
Slack,Email an on-call engineer with PagerDuty,"PagerDuty, Slack",21,null
Slack,Elastic SIEM to Slack alert enrichment,"Elastic, Slack, Tines",106,Aaron Jewitt
Slack,Send out-of-office replies in Slack,Slack,6,null
Slack,Send an MFA push challenge to an Okta user on-demand,"Okta, Slack",11,null
Slack,Check if host is active in CrowdStrike and take action,"CrowdStrike, Slack",14,null
Slack,Send Tines case notifications to subscribers in Slack or Teams,"Microsoft Teams, Slack, Tines",26,Michael Tolan
Slack,Deactivate stale AWS access keys discovered by Wiz,"AWS, ServiceNow, Slack, Wiz",17,Derek Wohlfahrt
Slack,Chat with AWS Bedrock in Slack threads,"AWS, Slack",10,Michael Tolan
Slack,Manage GitHub pull requests via Slack,"GitHub, Slack",14,Conor Dunne
Slack,Analyze vulnerabilities from JupiterOne by source account,"Jira Software, JupiterOne, Slack",12,null
Slack,Run a query in Snowflake,"Slack, Snowflake, VirusTotal, Zendesk",5,null
Slack,Block suspicious IPs by creating firewall rule groups with CrowdStrike,"CrowdStrike, Slack",17,null
Slack,Manage held queue messages in Mimecast,"Mimecast, Slack",19,null
Slack,Approve user access to Okta or Office 365 using Pages,"Jira Software, Microsoft, Okta, Slack",44,null
Slack,Implement data loss prevention policies,"Google, Panther, Slack",35,null
Slack,Receive enriched IP information via Slack,"AbuseIPDB, GreyNoise, Slack, VirusTotal",6,Aaron Sandow
Slack,Triage Slack help desk queries,"Jira Software, Slack",28,null
Slack,Analyze SMS phishing with the AI action,"MISP, Slack, URLScan.io, VirusTotal",33,Michael Fischler
Slack,Verify a user using Slack and Okta verify,"Okta, Slack",27,null
Slack,Analyze vulnerabilities from JupiterOne by severity,"Jira Software, JupiterOne, Slack",30,null
Slack,"Handle, enrich and notify teams of new Qualys alerts","Jira Software, Qualys, Slack",20,null
Slack,Determine severity of LimaCharlie detections and triage,"Jira Software, LimaCharlie, Slack",21,null
Slack,Utilize Tines prompts in Slack without opening a new browser tab,"Slack, Tines",8,null
Slack,Create on-call Slack channels using OpsGenie groups,"OpsGenie, Slack",10,null
Slack,Handle GitHub notifications and notify Slack,"GitHub, Slack",17,null
Slack,Send email and post contents to Slack,Slack,3,null
Slack,Search Google Sheets information via Slack,"Google Sheets, Slack",13,null
Slack,Distribute decision making using ChatOps,Slack,12,null
Slack,Monitor & respond to Slack queries from external users & respond using Zendesk,"Slack, Zendesk",80,Lasse Høgsholt
Slack,Provide compliance information after signing an MNDA in Docusign eSignature,"DocuSign, Slack",14,null
Slack,Analyze files with VMRay,"Microsoft, Microsoft Teams, Slack, VMRay",31,null
Slack,Create and update Tines Cases from questions in Slack,"Slack, Tines",72,Lasse Høgsholt
Slack,Detect and alert performance issues in devices using Elastic and Slack,"Elastic, Slack",4,Tines
Slack,Notify users of open tickets in TheHive,"Slack, TheHive Project",10,null
Slack,Create shift handover notes in Confluence and send reminders in Slack,"Confluence, Jira Software, Slack",13,Michael Tolan
Slack,Create and escalate Jira issues for GitHub Advanced Security findings,"GitHub, Jira Software, Slack",6,Conor Dunne
Slack,Remediate compliance violations with Lacework,"AWS, Lacework, Slack",12,null
Slack,Capture product feedback and post it to Slack,"Slack, Tines",23,Tines
Slack,Monitor Tines audit logs for action changes and send Slack alerts,"Slack, Tines",7,null
Slack,Identify EC2 instances missing tags and configure them with a Tines page,"AWS, Slack",10,Conor Dunne
Slack,Summarize suggested changes in Tines stories with AI,Slack,12,Tyler Talaga
Slack,Employee recognition app with BambooHR and Slack,"BambooHR, Slack",20,null
Slack,Create Linear issues from Slack message reactions,"Linear, Slack",13,Tines
Slack,Manage Jira issues via Slackbot,"Jira Software, Slack",94,null
Slack,Use OpenAI to create Tines Actions,"OpenAI, Slack",3,null
Slack,Retrieve & enrich IOCs across multiple platforms,"Cybereason, Jira Software, PassiveTotal, Recorded Future, Slack",14,null
Slack,Communicate across channels in Microsoft Teams and Slack,"Microsoft, Microsoft Teams, Slack",15,Michael Tolan
Slack,Create Terraform Infrastructure as Code,"GitHub, HashiCorp, HashiCorp Terraform, ServiceNow, Slack",16,null
Slack,Create instant Google Meets via Slackbot,"Google, Slack",5,Eoin Magner
Slack,Sensitive files shared to personal email,"Jira Software, Slack, Splunk",26,Brandon Buhrs
Slack,Discover new objects in collections provided by the MITRE TAXII server,"MITRE, Slack",10,Conor Dunne
Slack,Alert on AWS Backup changes and record in CodeCommit,"AWS, Slack",32,Conor Dunne
Slack,Backup Tines Stories to GitLab and notify Slack,"GitLab, Slack, Tines",45,Michael Tolan
Slack,Facilitate two-way communication between Slack & Zendesk,"Slack, Zendesk",33,Lasse Høgsholt
Slack,Send reminders for risk register updates,"Google Sheets, Slack",15,Conor Dunne
Slack,Review apps in Lumos for inactive approvers and notify Slack,"Lumos, Slack",12,Michael Tolan
Slack,"Handle malware alerts with CrowdStrike, Oomnitza, GitHub, and PagerDuty","CrowdStrike, GitHub, PagerDuty, Slack",25,Lucas Cantor
Slack,Audit & enforce compliance on endpoints with SimpleMDM,"BambooHR, Google, Slack",49,null
